web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,prix,adresse,type_habits,image_lien-src
"1740023467-17","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border18jours","https://sn.coinafrique.com/annonce/chaussures-homme/bottes-homme-5163774","25 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_2849780_uploaded_image1_1608763692.jpg"
"1740023470-18","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border18jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5164401","Prix sur demande","Yoff, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5164401_uploaded_image1_1738425286.jpg"
"1740023473-19","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border18jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-louis-vuitton-5164976","20 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_4594042_uploaded_image1_1707936886.jpg"
"1740023477-20","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border17jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-hommes-5165587","15 000 CFA","Diamalaye 1, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5178700_uploaded_image1_1739182330.jpg"
"1740023480-21","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border17jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-hommes-5165588","15 000 CFA","Diamalaye 1, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5178700_uploaded_image1_1739182330.jpg"
"1740023483-22","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border17jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-hommes-5165685","12 000 CFA","Diamalaye 1, Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5178700_uploaded_image1_1739182330.jpg"
"1740023486-23","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border17jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-hommes-5165752","15 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023490-24","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border17jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5165856","13 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023493-25","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border17jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5165858","25 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
"1740023496-26","https://sn.coinafrique.com/categorie/chaussures-homme","favorite_border17jours","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5165861","12 000 CFA","Dakar, Sénégal","Chaussures Homme","https://images.coinafrique.com/thumb_5187030_uploaded_image1_1739624970.jpg"
